title_id,genre_id
ts300399,5
tm84618,4
tm84618,6
tm127384,3
tm127384,9
tm70993,3
tm190788,11
ts22164,3
ts22164,7
tm14873,17
tm14873,4
tm14873,1
tm185072,6
tm185072,12
tm185072,14
tm185072,8
tm98978,14
tm98978,6
tm119281,6
tm119281,4
tm119281,1
tm67378,19
tm67378,1
tm67378,7
tm44204,18
tm44204,1
tm44204,6
tm69778,3
tm69778,2
tm69778,1
tm69778,9
tm69778,8
tm69997,3
tm69997,5
tm96649,19
tm96649,4
tm16479,14
tm16479,3
tm16479,12
tm135083,6
tm135083,4
tm135083,3
tm14491,5
tm89386,5
tm89386,10
tm89386,7
tm156453,3
tm156453,5
tm156453,12
tm27298,6
tm27298,18
tm27298,1
tm27298,10
tm27298,14
tm356209,6
tm356209,17
tm356209,4
tm204541,6
tm204541,1
tm204541,14
tm204541,17
tm14350,6
tm102287,6
tm102287,17
tm102287,4
tm102287,10
tm76557,3
tm76557,6
tm71909,9
tm94651,6
tm94651,3
tm94651,14
tm94651,1
tm94651,4
tm19608,14
tm19608,4
tm19608,6
ts45948,3
tm90896,6
tm90896,4
tm75975,14
tm97793,3
tm85426,3
tm188894,3
tm107372,3
tm107372,6
tm107372,14
tm200475,6
tm259855,5
tm259684,5
tm344089,6
tm358653,14
tm358653,4
tm358653,6
tm100027,6
tm100027,1
tm100027,14
tm100027,8
tm100027,9
tm10204,14
tm10204,3
tm10204,6
tm403346,14
tm16812,6
tm16812,14
tm16812,1
tm336403,6
tm336403,4
tm336403,17
tm119776,6
tm119776,1
ts20681,3
tm111075,6
tm180542,6
tm180542,4
tm180542,7
tm138875,14
tm138875,3
tm138875,6
tm155792,15
tm155792,1
tm155792,3
tm155792,8
tm22327,6
tm22327,18
tm54450,11
tm54450,17
tm54450,7
tm2386,11
ts22082,1
ts22082,15
ts22082,4
ts22082,6
tm145608,6
tm145608,7
ts21715,8
ts21715,3
ts21715,12
ts21715,1
ts21715,2
ts21715,9
ts21715,6
tm41289,6
tm41289,8
tm41289,3
tm132694,11
tm132694,9
tm132694,17
ts20678,3
ts20678,14
ts20678,8
tm117580,3
tm117580,14
tm20712,3
tm20712,5
tm130586,6
tm130586,14
ts25028,8
ts23753,3
ts23753,8
ts2760,3
ts2760,2
ts2760,8
ts2760,4
ts2760,7
ts987,3
ts987,8
ts987,15
ts987,2
ts987,7
tm125985,15
tm125985,6
tm125985,18
tm125985,2
tm125985,1
tm40103,15
tm40103,2
tm40103,1
tm40103,6
tm40103,18
tm21953,3
tm21953,5
tm152839,3
tm152839,5
tm62924,3
tm62924,5
tm114356,6
tm147829,6
tm126769,3
tm49037,2
tm49037,1
tm49037,6
tm49037,15
tm49037,18
tm159912,1
tm159912,4
tm159912,6
tm133914,3
tm38736,6
tm38736,18
tm258072,4
tm258072,6
tm52815,6
tm52815,14
tm137013,6
tm157853,6
tm157853,4
tm157603,14
tm157603,3
tm157603,6
tm45720,3
tm45720,6
tm55091,6
tm151332,6
tm24110,6
tm348735,1
tm348735,4
tm348735,17
tm51083,4
tm51083,6
tm51083,17
tm126791,6
tm186777,3
tm311264,3
tm311264,6
tm311264,8
tm311264,1
tm172482,14
tm172482,1
tm172482,6
tm52274,6
tm52274,18
tm52274,7
tm132164,3
tm342996,6
tm342996,1
ts63001,3
tm411457,6
tm411457,1
tm371359,6
tm371359,17
tm371359,1
tm446654,6
tm446654,1
tm446654,4
tm47673,9
tm47673,6
tm419052,8
tm419052,14
tm11556,19
tm11556,17
tm11556,1
tm11556,14
ts20981,13
ts22176,15
ts22176,6
ts22176,1
ts21223,15
ts21223,1
ts21223,3
ts21223,9
ts21223,2
ts21223,8
tm122434,6
tm122434,14
tm122434,3
tm106462,3
tm106462,16
ts20339,1
ts20339,3
ts20339,2
ts20339,6
ts20339,9
tm57554,6
tm57554,18
ts34435,19
ts34435,1
ts34435,15
ts34435,17
ts34435,2
ts34435,3
ts34435,6
ts20927,15
ts20927,1
ts20927,6
ts5145,13
ts5145,3
ts5145,6
ts5145,15
tm192405,17
tm192405,6
tm192405,15
ts21567,3
ts21567,6
tm55553,1
tm55553,15
tm55553,11
tm56574,14
tm56574,6
tm56574,3
tm192037,15
tm192037,17
tm192037,1
ts20983,15
ts20983,1
ts20983,6
ts20983,17
ts20983,9
ts20983,2
ts22193,15
ts22193,3
ts22193,8
ts22193,9
ts22193,2
tm191989,17
tm191989,6
tm191989,4
ts20960,15
ts20960,1
ts20960,9
ts20960,8
tm65686,17
tm65686,4
tm65686,1
ts11397,1
ts11397,2
ts11397,15
ts11397,19
ts11397,9
ts11397,3
ts11397,8
tm54903,6
tm54903,17
tm54903,4
tm54903,7
tm187187,3
tm187187,1
tm187187,9
tm191772,6
tm191772,10
tm191772,18
tm191848,11
tm191848,17
tm191848,6
tm121879,6
tm44402,6
tm44402,7
ts22489,15
ts22489,9
ts22489,11
ts22489,17
ts22489,8
ts22489,12
ts25252,15
ts25252,1
ts25252,8
ts25252,9
ts25252,2
ts25252,3
ts25252,6
ts21034,1
ts21034,3
ts21034,15
ts21034,2
ts21034,6
ts21034,9
ts21034,14
tm53419,6
tm53419,16
tm189764,6
tm189764,4
tm189764,17
tm9323,17
tm9323,1
tm9323,4
tm9323,19
tm9323,7
tm46173,1
tm46173,17
tm46173,19
tm46173,3
tm46173,14
tm19673,6
tm19673,1
tm19673,10
tm19673,18
tm24877,3
tm189433,6
tm189433,8
ts251477,13
tm1822,1
tm1822,3
tm1822,8
tm1822,16
tm187791,6
tm187791,17
tm187791,1
tm187791,4
tm19494,3
tm19494,16
tm10739,15
tm10739,17
tm10739,1
tm10739,6
tm113576,6
tm113576,8
tm113576,14
tm191387,17
tm191387,11
tm191387,1
tm6859,3
tm6859,6
tm6859,8
tm6859,14
tm6859,7
tm186589,17
tm186589,1
tm186589,2
tm191374,11
tm191374,17
tm8446,15
tm8446,1
tm8446,3
tm8446,8
ts8570,8
tm21596,15
tm21596,1
tm21596,11
tm21596,17
tm48430,17
tm48430,15
tm48430,1
tm190835,15
tm190835,1
tm190835,6
tm190835,9
tm190835,2
tm192199,9
tm192199,11
tm192199,15
tm192199,17
tm192199,1
tm192199,6
tm184205,3
tm184205,8
tm12499,17
