title_id,country_id
ts300399,233
tm84618,233
tm127384,77
tm70993,77
tm190788,233
ts22164,77
tm14873,233
tm185072,233
tm98978,233
tm119281,233
tm67378,233
tm44204,233
tm44204,77
tm69778,114
tm69997,233
tm96649,233
tm16479,233
tm135083,65
tm14491,233
tm89386,57
tm156453,233
tm27298,65
tm356209,105
tm204541,65
tm14350,65
tm102287,65
tm76557,65
tm71909,105
tm94651,105
tm19608,65
tm90896,62
tm90896,65
tm75975,105
tm97793,65
tm85426,65
tm188894,65
tm107372,105
tm200475,127
tm259855,75
tm259855,127
tm259855,38
tm259684,75
tm259684,127
tm259684,38
tm344089,105
tm358653,105
tm100027,105
tm100027,999
tm10204,105
tm403346,105
tm16812,105
tm336403,105
tm119776,233
ts20681,233
tm111075,233
tm180542,233
tm180542,110
tm138875,233
tm155792,95
tm155792,233
tm22327,77
tm22327,233
tm54450,233
tm2386,233
ts22082,233
tm145608,233
ts21715,77
tm41289,233
tm132694,233
ts20678,233
tm117580,233
tm20712,233
tm130586,233
ts25028,233
ts23753,233
ts2760,77
ts987,77
tm125985,114
tm40103,114
tm21953,233
tm152839,233
tm62924,77
tm114356,233
tm147829,233
tm126769,10
tm49037,114
tm159912,105
tm133914,77
tm38736,233
tm258072,233
tm52815,105
tm137013,233
tm157853,233
tm157603,105
tm45720,123
tm55091,233
tm151332,65
tm151332,75
tm24110,233
tm348735,105
tm51083,233
tm126791,65
tm186777,65
tm311264,105
tm172482,105
tm52274,75
tm52274,127
tm132164,233
tm342996,105
ts63001,233
tm411457,105
tm371359,105
tm446654,105
tm47673,65
tm419052,105
tm11556,233
tm11556,114
ts20981,233
ts22176,233
ts22176,38
ts21223,114
tm122434,233
tm106462,233
ts20339,114
tm57554,233
ts34435,114
ts20927,233
ts5145,233
tm192405,233
ts21567,233
tm55553,233
tm56574,233
tm192037,233
ts20983,114
ts22193,233
ts22193,38
tm191989,233
ts20960,233
tm65686,233
ts11397,233
tm54903,233
tm187187,233
tm191772,233
tm191848,57
tm191848,233
tm121879,233
tm44402,233
tm44402,57
ts22489,38
ts22489,233
ts25252,114
ts21034,114
tm53419,233
tm189764,233
tm9323,233
tm46173,233
tm19673,57
tm19673,233
tm24877,233
tm189433,233
tm189433,75
ts251477,114
tm1822,233
tm1822,114
tm187791,233
tm19494,233
tm10739,233
tm10739,38
tm113576,233
tm191387,174
tm191387,233
tm191387,31
tm6859,233
tm186589,110
tm186589,233
tm186589,75
tm191374,233
tm8446,233
tm8446,95
ts8570,233
tm21596,57
tm21596,233
tm48430,233
tm190835,114
tm192199,233
tm184205,233
tm12499,233
tm192431,233
tm56033,75
tm56033,102
tm56033,77
tm56033,57
tm190486,95
tm190486,233
tm61103,233
tm61103,57
tm117488,233
tm55732,233
tm191431,233
tm191431,95
tm17721,233
ts20939,233
ts21693,233
ts22286,114
tm190811,233
tm107659,233
ts21581,233
tm7135,233
tm7073,233
tm63514,233
ts20918,233
tm10811,233
tm188970,77
tm188606,82
tm188606,77
tm188606,233
tm188606,21
tm188606,57
tm128073,77
ts18465,77
tm64817,233
tm320211,77
tm189171,10
tm189171,68
tm67635,105
ts22080,75
ts22039,75
tm41525,157
tm7951,233
ts21684,13
tm55100,105
ts224786,49
tm204173,105
tm191614,65
tm191614,75
tm8859,105
tm424630,233
tm12876,105
tm52083,20
tm52083,75
tm52083,167
tm52083,127
tm9898,105
tm326102,105
tm12482,105
tm128925,105
tm52871,105
ts28516,10
tm62385,105
tm184502,105
tm7810,233
tm27601,105
tm8687,233
tm47530,105
tm105716,105
tm117873,105
tm189773,105
tm7032,110
tm7032,127
tm7032,20
tm7032,75
tm58893,105
tm340430,105
tm184326,105
tm110225,105
tm34391,77
tm21911,233
tm118438,105
tm62176,105
tm57169,233
tm57169,77
tm184224,233
tm44776,65
tm44776,75
tm104933,233
tm203186,127
tm256669,105
tm117840,65
tm117840,75
tm334788,105
tm110160,105
tm192301,105
tm110766,233
tm110766,75
tm110766,57
tm110766,183
tm118256,105
tm64729,233
tm314602,105
tm25389,105
tm42397,105
tm210754,225
tm449775,105
tm449775,999
ts4,233
ts9,233
ts26091,75
ts11,77
ts21469,233
ts288536,77
ts6495,233
ts22337,233
ts8308,233
ts22011,38
ts21465,233
tm33545,233
tm172683,233
ts17156,233
ts20573,77
ts12724,233
ts3371,233
tm92641,77
tm92641,233
tm102740,233
tm87484,233
ts20604,233
tm39030,77
tm39030,233
tm39030,32
tm39030,56
tm39030,57
tm78592,233
ts21511,38
ts21511,233
ts19036,233
ts19036,38
tm116324,233
ts32186,114
ts11313,114
tm34310,233
tm34310,57
ts21247,233
tm160815,77
tm160815,233
tm160815,13
tm78671,233
tm89036,233
tm86803,233
tm105329,233
ts20305,114
tm35463,233
tm84371,233
tm139658,233
tm79442,57
tm79442,68
tm79442,233
tm79442,75
tm131038,233
ts2230,233
tm154187,77
tm154187,233
tm154187,13
tm154187,57
tm133767,77
tm133767,233
tm88738,77
tm88738,233
ts17942,233
tm148270,233
tm93055,233
tm133374,233
tm26897,77
tm26897,233
tm109304,114
tm109304,233
ts22267,38
tm76066,233
tm90190,233
tm997728,233
tm29737,233
tm29737,57
tm84906,233
tm84906,109
tm84906,77
ts6644,59
tm142086,171
tm142086,114
tm142086,233
ts22018,233
ts30311,233
tm95252,233
tm136808,233
ts21197,77
tm195620,233
tm109137,233
tm84613,233
tm84613,77
tm173551,233
tm94606,77
tm94606,233
tm136308,233
tm82985,233
tm145593,233
tm150260,233
ts30313,13
tm119111,233
tm130647,233
tm130647,38
tm130647,75
tm32919,233
tm32919,57
tm23935,233
tm137143,77
tm137143,233
tm137143,57
tm28905,233
tm44486,233
tm39487,233
tm169949,233
ts35155,114
tm184913,233
tm118637,233
tm58382,233
tm40009,233
ts12787,114
tm154470,233
tm154470,57
tm154470,110
tm154470,77
tm22294,233
tm78067,233
tm148379,233
tm76428,233
tm21467,38
tm21467,57
tm21467,233
tm46436,38
tm46436,233
tm57190,233
tm37546,13
tm30205,95
tm30205,48
tm159310,233
tm159310,57
tm89592,233
tm167516,233
tm167516,57
tm79895,233
tm88045,233
tm111600,233
tm143938,233
tm31187,77
tm31187,233
tm141390,233
tm74780,233
tm150214,110
tm150214,233
ts21544,233
tm176528,75
tm176528,114
tm176528,233
tm102337,233
tm36188,77
tm36188,233
tm88382,38
tm88382,233
ts31263,233
ts31263,20
tm47523,233
tm24088,233
tm137362,233
tm177068,233
tm82442,233
tm82442,95
tm90864,233
tm101249,233
ts687,233
ts24028,77
tm142564,105
ts23752,114
ts21706,13
ts21740,114
ts30356,77
tm89684,233
ts31514,233
ts22005,38
tm183963,233
tm27268,233
tm81270,233
tm137342,233
ts21688,122
ts22318,110
tm161263,57
tm161263,233
ts12815,233
tm26638,233
tm55303,233
tm31189,233
tm165593,233
ts15986,77
ts26322,114
tm78767,233
ts98340,233
ts98340,38
tm36644,233
tm77649,233
ts33559,77
tm33113,233
tm33113,57
tm78189,22
tm78189,77
tm78189,233
tm43399,105
tm147211,77
tm147211,233
ts56549,233
tm29555,233
tm93225,233
tm93225,13
ts20398,13
tm86189,38
tm86189,233
ts21421,68
ts21421,77
tm104880,233
tm101334,233
tm135451,233
ts20526,233
tm186461,77
tm186461,233
tm186461,114
ts30083,114
tm141707,233
tm103095,48
tm103095,95
ts23835,191
tm83786,105
ts23808,233
ts27459,48
ts20544,114
tm27168,233
ts40702,198
ts30288,114
tm114476,233
ts21967,38
ts21967,233
ts12701,75
tm130574,233
ts21695,122
ts121176,233
ts1893,77
ts20535,233
tm160800,77
tm160800,233
tm160800,38
ts38159,75
tm22493,233
tm164557,95
tm164557,114
tm112381,233
tm71119,233
tm134235,114
tm86995,233
ts17028,114
tm137530,38
tm137530,77
tm137530,233
ts25765,114
ts3666,114
ts42914,75
tm100688,68
tm100688,75
tm100688,157
tm31290,38
tm36475,105
tm80059,114
tm53999,233
tm22636,38
tm30289,233
tm38896,233
tm29269,105
tm156001,233
ts21664,233
tm73058,105
tm76835,105
ts1464,49
tm48083,75
tm33981,38
tm80339,114
ts72322,49
ts52849,77
tm165259,233
tm97544,105
tm97544,38
tm97544,233
tm65142,114
ts14102,38
tm22342,233
tm24576,114
tm41508,233
ts74928,75
tm52352,233
tm170873,233
tm176297,105
ts74931,233
tm110923,183
tm110923,75
tm110923,137
tm110923,57
tm150521,95
tm75022,233
tm177687,114
tm22989,233
ts98252,233
tm156575,105
ts20358,233
ts44053,48
ts23319,77
tm91046,65
tm61056,105
tm138497,38
tm93612,114
tm81461,57
tm81461,234
tm81461,68
tm81461,10
tm32915,105
ts63295,68
ts63295,10
tm96037,114
tm36164,114
tm147494,114
tm31564,233
tm95238,233
tm95238,38
tm54147,233
tm54147,105
tm99776,233
tm30170,105
tm37945,105
tm25029,228
tm59880,233
tm34524,114
tm83175,105
tm65839,59
tm89936,122
tm22540,105
tm34846,114
tm32885,105
ts44663,75
tm82765,105
tm82765,233
tm170169,105
tm44749,65
tm47325,75
tm146887,105
tm144345,105
tm70222,105
tm92977,105
ts37200,75
tm98975,105
tm25842,233
tm43179,105
tm95434,95
tm23441,105
tm86051,105
tm44634,233
tm62369,48
tm62369,95
tm23077,105
tm31335,105
tm139349,233
tm85243,38
tm165809,105
tm89764,114
tm68191,57
tm51493,225
ts56589,122
ts1413,228
tm175687,233
ts98353,233
tm49405,114
tm96168,105
tm72587,105
tm88366,105
tm101684,225
tm38454,233
tm164389,105
tm77863,105
ts137477,233
tm138902,114
ts4866,228
tm149209,105
ts34414,49
tm147686,233
tm82718,225
tm39557,105
tm22558,158
ts204466,49
tm164591,105
tm106625,105
ts18653,105
tm352863,233
ts67595,49
tm29731,105
tm80455,105
tm84348,233
tm144835,233
tm129971,105
tm41953,77
tm103133,105
tm421611,65
ts29199,233
ts29199,77
tm155761,105
tm75544,105
tm29028,68
tm29028,43
tm29028,183
tm29028,20
tm29028,75
tm93004,105
tm23977,46
tm23977,10
tm78790,105
tm44530,105
tm102848,105
tm96595,105
tm56428,38
tm155774,57
tm155774,123
tm155774,183
tm155774,75
tm44378,46
tm97982,105
tm27484,105
tm145243,105
tm77348,105
ts178360,49
tm111226,105
tm237621,164
tm104349,122
tm152724,105
tm69694,65
tm105278,114
tm80487,233
tm33729,105
tm129763,105
tm130301,105
tm141117,105
tm35652,105
tm49865,105
tm254745,183
tm134140,105
ts82592,198
tm114504,105
tm76029,77
tm76029,75
tm76029,127
tm33067,105
tm103732,105
tm712151,247
tm98475,105
tm34924,95
tm101609,105
ts98316,77
tm216753,157
